position,char
540,32
711,32
73,95
68,95
155,95
673,32
35,95
309,124
148,32
280,124
474,96
240,32
178,32
340,32
695,32
526,95
286,32
313,32
259,95
543,95
256,32
584,32
97,95
55,32
0,32
22,95
615,47
300,45
30,46
634,32
676,32
298,46
428,96
250,32
93,95
505,32
556,32
586,32
697,32
496,124
222,45
720,32
324,124
501,124
361,32
44,95
442,32
683,32
306,124
567,95
118,32
610,95
197,32
702,32
326,32
61,95
374,32
355,47
493,124
279,32
4,95
80,32
116,32
317,32
668,95
618,124
435,32
666,92
268,32
458,32
20,95
248,32
111,32
120,32
574,32
651,32
228,45
486,45
23,95
316,32
341,32
92,95
98,95
130,32
183,32
281,32
38,95
29,95
335,32
454,32
715,32
19,95
636,32
357,32
705,32
504,32
275,32
147,32
173,124
299,45
239,124
104,124
591,95
641,32
708,32
421,45
477,39
49,95
548,32
114,47
82,32
254,124
617,32
345,32
251,32
399,124
163,95
598,95
377,32
6,95
203,32
213,45
270,32
664,32
438,124
45,95
329,32
655,32
667,95
191,124
387,124
242,124
436,32
707,32
423,32
409,32
237,45
31,32
205,32
592,95
238,96
21,95
706,32
27,95
188,32
645,32
450,124
596,32
716,32
402,124
186,124
430,45
429,45
158,124
100,32
24,95
274,124
572,32
652,32
209,32
475,45
199,92
57,95
633,32
315,124
512,124
499,32
622,32
558,32
232,32
177,32
718,32
396,32
576,92
681,32
36,95
422,39
272,124
654,32
319,32
137,32
172,32
65,32
523,95
235,45
95,32
142,95
252,124
611,95
124,32
206,32
462,124
492,32
88,95
143,124
709,32
382,32
703,32
367,124
542,124
66,32
296,32
321,124
485,96
262,32
54,32
102,32
521,95
208,124
115,32
338,32
194,32
215,32
534,95
189,124
378,124
151,32
204,92
339,32
406,32
719,32
364,124
202,32
465,124
388,32
491,124
457,32
69,32
710,32
60,95
589,95
86,32
99,95
348,95
334,124
632,32
444,32
466,32
639,32
159,32
497,92
161,32
635,32
365,32
325,32
323,32
295,124
662,32
500,32
691,32
551,124
223,45
284,32
176,124
198,32
575,32
224,45
156,95
84,95
563,32
363,95
637,32
278,32
550,32
650,32
557,32
167,92
58,95
89,95
308,32
2,95
426,32
469,32
568,95
601,32
190,32
322,32
174,32
372,32
602,92
303,32
690,32
276,32
241,32
404,32
569,124
234,45
507,45
411,92
612,95
253,32
726,32
381,124
536,95
227,45
119,32
403,32
50,95
328,32
717,32
56,32
34,95
107,32
607,124
184,92
291,32
410,32
580,95
383,32
153,32
578,95
541,32
283,124
247,32
346,32
533,95
146,47
386,32
201,92
301,46
135,124
678,32
293,124
5,95
588,95
687,32
606,32
640,32
577,95
16,95
126,32
285,124
418,32
594,47
77,46
347,95
11,95
185,32
370,124
249,124
331,32
83,95
675,32
9,32
445,32
10,32
171,32
76,32
539,32
573,32
448,32
495,32
661,32
419,39
724,47
51,95
